date,commit,host,condition,peers,load_target_gbps,load_actual_gbps,latency_tool,lat_samples,p50_us,p99_us,p999_us,softirq_ce,system_ce,total_busy_ce,wasted_poll_pct,fresh_wake_pct,retransmits,drops,nic_irq_count,sdfn_state,notes
2026-07-01T06:11:04-05:00,EA06EE82AFA1C813458F113,dut,off,8,2,1.0981,sockperf,43835,239.324,1183.417,1381.208,0.444,1.883,1.902,NA,NA,817,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:12:11-05:00,EA06EE82AFA1C813458F113,dut,off,8,4,3.3438,sockperf,35802,325.783,1104.544,1266.264,0.992,5.481,5.539,NA,NA,19085,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:13:27-05:00,EA06EE82AFA1C813458F113,dut,off,8,4,2.8815,sockperf,39013,304.160,942.134,1104.829,1.017,5.615,5.699,NA,NA,3892,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:14:04-05:00,EA06EE82AFA1C813458F113,dut,both,8,6,4.1635,sockperf,20313,722.067,1171.242,1321.694,1.039,5.847,5.934,NA,NA,55114,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:14:36-05:00,EA06EE82AFA1C813458F113,dut,both,8,0,0.0000,sockperf,42904,345.703,370.615,377.672,0.009,0.185,0.196,NA,NA,0,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:15:13-05:00,EA06EE82AFA1C813458F113,dut,both,8,6,4.1290,sockperf,19686,739.483,1189.859,1319.688,1.048,5.776,5.858,NA,NA,54581,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:15:45-05:00,EA06EE82AFA1C813458F113,dut,off,8,0,0.0000,sockperf,44486,334.666,367.400,375.941,0.017,0.272,0.288,NA,NA,0,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:17:02-05:00,EA06EE82AFA1C813458F113,dut,off,8,4,3.0567,sockperf,45198,256.772,844.107,994.958,0.961,5.109,5.155,NA,NA,5050,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:17:35-05:00,EA06EE82AFA1C813458F113,dut,both,8,0,0.0000,sockperf,44282,335.552,367.977,374.461,0.015,0.183,0.193,NA,NA,0,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:18:11-05:00,EA06EE82AFA1C813458F113,dut,both,8,6,4.1363,sockperf,20061,732.956,1189.551,1316.054,1.041,5.874,5.956,NA,NA,56773,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:18:58-05:00,EA06EE82AFA1C813458F113,dut,off,8,4,3.1087,sockperf,44154,322.149,806.438,948.019,0.935,5.114,5.153,NA,NA,2243,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:19:34-05:00,EA06EE82AFA1C813458F113,dut,both,8,6,4.1467,sockperf,20249,724.578,1176.667,1320.407,1.045,5.843,5.928,NA,NA,55054,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:20:51-05:00,EA06EE82AFA1C813458F113,dut,both,8,2,1.0896,sockperf,45800,190.061,1322.046,1486.563,0.743,3.297,3.334,NA,NA,744,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:21:37-05:00,EA06EE82AFA1C813458F113,dut,both,8,4,3.2321,sockperf,40158,307.286,881.107,1053.742,1.011,5.355,5.401,NA,NA,4870,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:22:10-05:00,EA06EE82AFA1C813458F113,dut,off,8,0,0.0000,sockperf,43335,342.828,369.633,386.932,0.017,0.213,0.264,NA,NA,0,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:22:46-05:00,EA06EE82AFA1C813458F113,dut,both,8,6,4.1501,sockperf,20018,724.674,1179.233,1295.978,1.040,5.798,5.888,NA,NA,56399,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:23:19-05:00,EA06EE82AFA1C813458F113,dut,both,8,0,0.0000,sockperf,44473,335.897,369.750,377.745,0.009,0.189,0.203,NA,NA,0,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:24:05-05:00,EA06EE82AFA1C813458F113,dut,both,8,4,3.1087,sockperf,35525,427.258,908.991,1047.954,0.984,5.208,5.258,NA,NA,5025,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:24:38-05:00,EA06EE82AFA1C813458F113,dut,both,8,0,0.0000,sockperf,42655,347.374,373.359,379.378,0.009,0.178,0.190,NA,NA,0,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:25:11-05:00,EA06EE82AFA1C813458F113,dut,off,8,0,0.0000,sockperf,42748,346.877,372.284,379.281,0.015,0.181,0.193,NA,NA,0,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:25:57-05:00,EA06EE82AFA1C813458F113,dut,both,8,4,3.2320,sockperf,40684,303.797,884.736,1031.952,0.991,5.381,5.443,NA,NA,5471,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:26:34-05:00,EA06EE82AFA1C813458F113,dut,off,8,6,4.1431,sockperf,19995,735.826,1183.622,1310.828,1.042,5.769,5.846,NA,NA,56750,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:27:06-05:00,EA06EE82AFA1C813458F113,dut,off,8,0,0.0000,sockperf,42760,346.729,372.334,379.471,0.010,0.150,0.159,NA,NA,0,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:27:43-05:00,EA06EE82AFA1C813458F113,dut,off,8,6,4.1453,sockperf,19938,735.917,1180.645,1300.712,1.037,5.885,5.967,NA,NA,54240,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:28:19-05:00,EA06EE82AFA1C813458F113,dut,both,8,6,4.1584,sockperf,20006,734.663,1180.324,1327.020,1.039,5.818,5.904,NA,NA,54809,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:29:36-05:00,EA06EE82AFA1C813458F113,dut,off,8,2,1.0428,sockperf,49725,199.273,1539.017,1744.984,0.842,3.622,3.681,NA,NA,1527,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:30:09-05:00,EA06EE82AFA1C813458F113,dut,off,8,0,0.0000,sockperf,45424,329.398,354.451,365.702,0.007,0.200,0.214,NA,NA,0,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:30:45-05:00,EA06EE82AFA1C813458F113,dut,off,8,6,4.1286,sockperf,19967,728.672,1183.471,1324.231,1.049,5.760,5.840,NA,NA,54261,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:32:02-05:00,EA06EE82AFA1C813458F113,dut,off,8,2,1.1653,sockperf,40676,195.982,1501.192,1711.462,0.787,3.525,3.562,NA,NA,2744,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:32:34-05:00,EA06EE82AFA1C813458F113,dut,off,8,0,0.0000,sockperf,45451,326.246,367.675,376.172,0.029,0.211,0.224,NA,NA,0,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:33:07-05:00,EA06EE82AFA1C813458F113,dut,both,8,0,0.0000,sockperf,44819,331.860,365.767,373.067,0.020,0.193,0.205,NA,NA,0,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:34:23-05:00,EA06EE82AFA1C813458F113,dut,both,8,2,1.1377,sockperf,38117,230.612,1548.742,1742.406,0.764,3.523,3.560,NA,NA,844,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:35:10-05:00,EA06EE82AFA1C813458F113,dut,both,8,4,3.2316,sockperf,39352,290.497,1078.601,1229.523,0.938,5.119,5.173,NA,NA,13527,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:35:46-05:00,EA06EE82AFA1C813458F113,dut,off,8,6,4.1325,sockperf,19645,743.395,1189.063,1316.134,1.044,5.757,5.844,NA,NA,54142,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:37:03-05:00,EA06EE82AFA1C813458F113,dut,off,8,2,1.0969,sockperf,38581,220.142,1510.595,1762.198,0.783,3.424,3.460,NA,NA,2252,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:37:39-05:00,EA06EE82AFA1C813458F113,dut,off,8,6,4.1561,sockperf,20263,723.556,1183.237,1366.411,1.036,5.862,5.945,NA,NA,55239,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:38:56-05:00,EA06EE82AFA1C813458F113,dut,both,8,2,1.0224,sockperf,32619,277.862,1482.015,1711.550,0.789,3.723,3.765,NA,NA,1161,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:39:32-05:00,EA06EE82AFA1C813458F113,dut,both,8,6,4.1356,sockperf,19882,733.753,1188.052,1322.063,1.035,5.795,5.876,NA,NA,53861,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:40:19-05:00,EA06EE82AFA1C813458F113,dut,both,8,4,3.2318,sockperf,30882,430.374,1114.902,1265.382,0.947,5.259,5.317,NA,NA,15136,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:40:51-05:00,EA06EE82AFA1C813458F113,dut,off,8,0,0.0000,sockperf,43284,344.287,371.026,377.559,0.013,0.158,0.170,NA,NA,0,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:42:08-05:00,EA06EE82AFA1C813458F113,dut,both,8,2,1.0969,sockperf,41628,248.910,1345.584,1651.283,0.745,3.378,3.415,NA,NA,3112,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:43:24-05:00,EA06EE82AFA1C813458F113,dut,both,8,2,1.1376,sockperf,40092,239.007,1488.951,1752.662,0.763,3.316,3.353,NA,NA,3026,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:44:01-05:00,EA06EE82AFA1C813458F113,dut,both,8,6,4.1721,sockperf,20238,720.427,1166.362,1300.037,1.044,5.880,5.959,NA,NA,55750,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:44:47-05:00,EA06EE82AFA1C813458F113,dut,off,8,4,3.1089,sockperf,45054,304.394,762.162,921.335,0.948,5.050,5.095,NA,NA,2566,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:46:04-05:00,EA06EE82AFA1C813458F113,dut,both,8,2,1.1173,sockperf,41737,236.500,1450.633,1741.307,0.797,3.619,3.659,NA,NA,4445,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:46:36-05:00,EA06EE82AFA1C813458F113,dut,off,8,0,0.0000,sockperf,45299,328.209,367.176,374.410,0.009,0.181,0.194,NA,NA,0,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:47:13-05:00,EA06EE82AFA1C813458F113,dut,off,8,6,4.1657,sockperf,19972,733.951,1177.085,1312.395,1.044,5.847,5.929,NA,NA,53962,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:47:59-05:00,EA06EE82AFA1C813458F113,dut,both,8,4,3.3552,sockperf,37453,345.167,979.010,1115.678,0.909,4.922,4.978,NA,NA,2303,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:48:36-05:00,EA06EE82AFA1C813458F113,dut,off,8,6,4.1362,sockperf,20090,731.110,1182.722,1321.011,1.049,5.809,5.891,NA,NA,53966,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:49:09-05:00,EA06EE82AFA1C813458F113,dut,both,8,0,0.0000,sockperf,43085,343.939,369.970,377.234,0.020,0.149,0.160,NA,NA,0,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:49:55-05:00,EA06EE82AFA1C813458F113,dut,both,8,4,3.1087,sockperf,43454,312.865,759.842,881.170,0.999,5.372,5.420,NA,NA,6268,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:51:11-05:00,EA06EE82AFA1C813458F113,dut,both,8,4,2.8542,sockperf,44891,296.638,755.857,893.157,1.008,5.484,5.549,NA,NA,3437,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:52:28-05:00,EA06EE82AFA1C813458F113,dut,off,8,2,1.1846,sockperf,41764,210.385,1641.146,1848.182,0.801,3.671,3.717,NA,NA,1507,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:53:34-05:00,EA06EE82AFA1C813458F113,dut,off,8,2,1.2733,sockperf,43922,249.897,1075.397,1344.347,0.854,3.749,3.793,NA,NA,2209,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:54:51-05:00,EA06EE82AFA1C813458F113,dut,off,8,2,1.1653,sockperf,37915,220.194,1622.684,1801.017,0.831,3.796,3.838,NA,NA,3025,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:55:37-05:00,EA06EE82AFA1C813458F113,dut,off,8,4,3.1086,sockperf,31028,459.404,1066.379,1240.604,0.977,5.240,5.296,NA,NA,10066,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:56:54-05:00,EA06EE82AFA1C813458F113,dut,both,8,2,1.0489,sockperf,43945,263.485,971.068,1193.978,0.798,3.547,3.580,NA,NA,1747,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:57:30-05:00,EA06EE82AFA1C813458F113,dut,off,8,6,4.1438,sockperf,20346,723.577,1186.397,1310.291,1.039,5.808,5.892,NA,NA,55721,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:58:03-05:00,EA06EE82AFA1C813458F113,dut,both,8,0,0.0000,sockperf,46286,320.154,362.331,370.845,0.018,0.215,0.228,NA,NA,0,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:59:19-05:00,EA06EE82AFA1C813458F113,dut,both,8,2,1.0296,sockperf,38827,258.940,1107.497,1330.349,0.804,3.699,3.740,NA,NA,1525,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T07:00:36-05:00,EA06EE82AFA1C813458F113,dut,off,8,2,0.9613,sockperf,37343,271.019,1106.530,1271.347,0.754,3.306,3.337,NA,NA,506,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T07:01:09-05:00,EA06EE82AFA1C813458F113,dut,both,8,0,0.0000,sockperf,43278,343.668,372.814,380.307,0.017,0.146,0.156,NA,NA,0,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T07:01:55-05:00,EA06EE82AFA1C813458F113,dut,off,8,4,3.2319,sockperf,33449,418.179,1011.087,1140.915,0.966,5.243,5.295,NA,NA,5742,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T07:02:41-05:00,EA06EE82AFA1C813458F113,dut,off,8,4,3.2319,sockperf,32784,399.170,1066.251,1447.433,1.001,5.445,5.508,NA,NA,10400,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
